GCVI,GPP_mean (gC m-2 d-1)
1.77874567,3.514130435
1.829604481,2.664565217
2.220745549,5.293695652
2.540110158,3.712391304
2.472338392,4.557826087
1.993514656,5.335869565
2.245676087,3.625652174
1.443067628,3.985434783
1.177684942,3.759347826
2.567048668,3.968043478
1.909918828,2.956521739
1.656011356,3.194782609
1.329398199,3.279130435
1.130315199,3.950434783
3.072521492,4.64
1.503872541,3.838043478
2.70514827,4.047608696
1.519921492,4.529347826
2.656699572,4.098695652
3.136314893,5.266521739
2.737273428,4.745652174
1.363787167,3.268043478
1.870548433,2.721521739
1.99981707,3.601086957
1.567860747,3.717391304
1.420526781,3.934782609
1.420639795,5.305217391
1.678600703,4.186086957
3.472201773,3.391956522
2.676708125,4.610652174
1.274074255,2.808695652
2.618179666,4.426956522
1.899325084,2.851956522
1.224236183,4.400434783
2.08891509,4.758695652
-0.201855393,2.81326087
2.427969003,5.631956522
1.955976306,4.374565217
1.602942253,4.143478261
0.026587946,3.629347826
2.083252359,4.750217391
1.928626843,6.330434783
1.69970383,3.055869565
2.361239645,5.017608696
1.996972137,3.88673913
2.361873629,3.997391304
2.28957573,5.3
2.950316286,5.002826087
3.113076695,3.894565217
1.904012011,3.445
2.094025149,3.207391304
1.92800814,3.739782609
1.451363383,4.332826087
2.44529255,4.165
1.835666358,2.693478261
1.731418896,4.155869565
1.847067422,4.504782609
1.911047661,3.637608696
2.974218498,4.142391304
2.244524673,3.307391304
1.564610929,4.332608696
1.972531162,3.857826087
