Year,Mo,Dy,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Total Deaths
2004,11,24,ITALY:  NORTHERN:  BRESCIA,45.626,10.559,17,5.1,
2004,11,26,INDONESIA:  NABIRE,-3.609,135.404,10,7.1,32
2004,11,28,"JAPAN:  HOKKAIDO:  BEKKAI, KUSHIRO, NEMOURO",43.006,145.119,39,7,
2004,12,1,ALGERIA:  BOUMERDAS,36.848,3.448,10,4.5,
2004,12,2,TRINIDAD:  MAYARO,10.49,-61.48,49,5.8,
2004,12,5,"GERMANY:  EMMENDINGEN, FREIBURG IM BREISGAU",48.115,8.077,10,4.8,
2004,12,5,ALGERIA:  ZEMMOURI,36.865,3.421,10,4.5,
2004,12,6,JAPAN:  HOKKAIDO:  KUSHIRO,42.9,145.228,35,6.8,
2004,12,9,"INDIA:  HAILAKANDI, CACHAR",24.757,92.539,35,5.4,
2004,12,14,"JAPAN:  HOKKAIDO:  OBIRO, HABORO, TOMAMAE",44.119,141.793,10,5.8,
2004,12,20,TURKEY:  MARMARIS,37.042,28.206,5,5.4,
2004,12,23,AUSTRALIA:  MACQUARIE ISLAND,-49.312,161.345,10,8.1,
2004,12,26,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,3.316,95.854,30,9.1,227899
2005,1,10,IRAN:  GORGAN,37.103,54.574,32,5.4,
2005,1,19,JAPAN:  EAST COAST HONSHU,34.064,141.491,28,6.6,
2005,1,20,NEW ZEALAND:  NORTH ISLAND,-41.223,175.21,39,5.3,
2005,1,23,INDONESIA:  SULAWESI:  PALU,-1.198,119.933,11,6.3,1
2005,1,24,"ECUADOR:  NEAR WEST COAST:  PUERTO LOPEZ, SALANGO",-1.364,-80.785,17,6.1,
2005,1,25,CHINA:  YUNNAN PROVINCE:  SIMAO,22.526,100.709,12,4.8,
2005,1,25,TURKEY:  HAKKARI,37.622,43.703,41,5.9,2
2005,1,29,"SPAIN:  LA PACA, ZARCILLA DE RAMOS",37.91,-1.82,5,4.4,
2005,2,2,INDONESIA:  JAVA:  GARUT,-7.037,107.819,15,4.8,1
2005,2,14,GUADELOUPE,15.775,-61.744,12,5.8,
2005,2,14,CHINA:  XINJIANG PROVINCE:  WUSHI,41.728,79.44,22,6.1,
2005,2,15,INDIA:  KHASPUR,24.55,92.524,35,5.1,
